pl_name,rowid,hostname,pl_letter,hd_name,hip_name,tic_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_masse,pl_masseerr1,pl_masseerr2,pl_masselim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinie,pl_msinieerr1,pl_msinieerr2,pl_msinielim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_cmasse,pl_cmasseerr1,pl_cmasseerr2,pl_cmasselim,pl_cmassj,pl_cmassjerr1,pl_cmassjerr2,pl_cmassjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,ttv_flag,pl_imppar,pl_impparerr1,pl_impparerr2,pl_impparlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_trandurd,pl_trandurderr1,pl_trandurderr2,pl_trandurdlim,pl_ratdor,pl_ratdorerr1,pl_ratdorerr2,pl_ratdorlim,pl_ratror,pl_ratrorerr1,pl_ratrorerr2,pl_ratrorlim,pl_occdep,pl_occdeperr1,pl_occdeperr2,pl_occdeplim,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_projobliq,pl_projobliqerr1,pl_projobliqerr2,pl_projobliqlim,pl_trueobliq,pl_trueobliqerr1,pl_trueobliqerr2,pl_trueobliqlim,st_refname,st_spectype,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_rad,st_raderr1,st_raderr2,st_radlim,st_mass,st_masserr1,st_masserr2,st_masslim,st_met,st_meterr1,st_meterr2,st_metlim,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_lumlim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_age,st_ageerr1,st_ageerr2,st_agelim,st_dens,st_denserr1,st_denserr2,st_denslim,st_vsin,st_vsinerr1,st_vsinerr2,st_vsinlim,st_rotp,st_rotperr1,st_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,sy_refname,rastr,ra,decstr,dec,raerr1,raerr2,decerr1,decerr2,glat,glaterr1,glaterr2,glon,glonerr1,glonerr2,elat,elaterr1,elaterr2,elon,elonerr1,elonerr2,sy_pm,sy_pmerr1,sy_pmerr2,sy_pmra,sy_pmraerr1,sy_pmraerr2,sy_pmdec,sy_pmdecerr1,sy_pmdecerr2,sy_dist,sy_disterr1,sy_disterr2,sy_plx,sy_plxerr1,sy_plxerr2,sy_bmag,sy_bmagerr1,sy_bmagerr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_jmag,sy_jmagerr1,sy_jmagerr2,sy_hmag,sy_hmagerr1,sy_hmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_umag,sy_umagerr1,sy_umagerr2,sy_gmag,sy_gmagerr1,sy_gmagerr2,sy_rmag,sy_rmagerr1,sy_rmagerr2,sy_imag,sy_imagerr1,sy_imagerr2,sy_zmag,sy_zmagerr1,sy_zmagerr2,sy_w1mag,sy_w1magerr1,sy_w1magerr2,sy_w2mag,sy_w2magerr1,sy_w2magerr2,sy_w3mag,sy_w3magerr1,sy_w3magerr2,sy_w4mag,sy_w4magerr1,sy_w4magerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,sy_icmag,sy_icmagerr1,sy_icmagerr2,sy_tmag,sy_tmagerr1,sy_tmagerr2,sy_kepmag,sy_kepmagerr1,sy_kepmagerr2,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_ntranspec,st_nspec,pl_rade_ref,st_rad_ref
1RXS J160929.1-210524 b,22,1RXS J160929.1-210524,b,,,TIC 48964101 b,1,1,0,Imaging,2008,<a refstr=LAFRENIERE_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008ApJ...689L.153L/abstract target=ref> Lafreniere et al. 2008 </a>,2008-12,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,,,,,330.0,,,0.0,,,,,,,,,3000.0,300.0,-300.0,0.0,8.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,3000.0,300.0,-300.0,0.0,8.0,1.0,-1.0,0.0,Mass,,,,,,,,,,,,,1700.0,100.0,-100.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=LACHAPELLE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...802...61L/abstract target=ref>Lachapelle et al. 2015</a>,K7 V,4060.0,300.0,-200.0,0.0,1.31,0.14,-0.14,,0.85,0.2,-0.1,0.0,,,,,,-0.37,0.15,-0.15,0.0,,,,,0.005,,,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,16h09m30.30s,242.37623430000002,-21d04m59.31s,-21.083140300000004,,,,,22.03035,,,352.8906,,,-0.0684178,,,244.3657,,,25.3771704,0.089,-0.089,-10.2743,0.112028,-0.112028,-23.2043,0.08348610000000001,-0.08348610000000001,139.135,1.3195,-1.3195,7.159489999999999,0.0676472,-0.0676472,14.168,0.049,-0.049,12.618,0.069,-0.069,9.82,0.027,-0.027,9.121,0.023,-0.023,8.916,0.021,-0.021,,,,,,,,,,,,,,,,8.794,0.022,-0.022,8.79,0.02,-0.02,8.684,0.028,-0.028,8.531,0.37,-0.37,12.0572,0.002275,-0.002275,,,,11.1941,0.0075,-0.0075,,,,2015-04-01,2015-03,2015-04-01,0.0,0.0,0.0,0.0,0.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
2MASS J01225093-2439505 b,29,2MASS J01225093-2439505,b,,,TIC 11614485 b,1,1,0,Imaging,2013,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,2013-09,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,,,,,52.0,6.0,-6.0,0.0,,,,,,,,,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,,,,,,,,,,,,,,,,,7786.5,794.5,-794.5,0.0,24.5,2.5,-2.5,0.0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BOWLER_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref> Bowler et al. 2013 </a>,M3.5 V,3530.0,50.0,-50.0,0.0,0.37,0.01,-0.01,,0.4,0.05,-0.05,0.0,,,,,,-1.72,0.11,-0.11,0.0,,,,,0.12,0.01,-0.01,0.0,,,,,,,,,,,,,9.6,0.7,-0.7,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h22m51.07s,20.712801199999998,-24d39m52.61s,-24.6646128,,,,,-82.52019,,,195.4486,,,-30.711270000000003,,,8.622392999999999,,,172.4426671,0.15,-0.15,120.455,0.176921,-0.176921,-123.398,0.119485,-0.119485,33.8281,0.0862,-0.0862,29.5326,0.0747585,-0.0747585,15.706,0.071,-0.071,14.244,0.074,-0.074,10.084,0.028,-0.028,9.47,0.023,-0.023,9.198,0.026,-0.026,,,,,,,,,,,,,,,,9.022,0.023,-0.023,8.857,0.019,-0.019,8.747,0.031,-0.031,8.298,0.317,-0.317,12.9025,0.001151,-0.001151,,,,11.6243,0.0074884,-0.0074884,,,,2014-05-14,2013-09,2014-05-14,0.0,0.0,0.0,0.0,0.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
2MASS J02192210-3925225 b,30,2MASS J02192210-3925225,b,,,TIC 77111651 b,1,1,0,Imaging,2015,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,2015-06,Ground,Cerro Tololo Inter-American Observatory,1.5 m CTIO Telescope,SIMON Near-Infrared Spectroimager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,,,,,156.0,10.0,-10.0,0.0,16.141,0.336,-0.336,0.0,1.44,0.03,-0.03,0.0,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,,,,,,,,,,,,,,,,,4417.837,349.613,-349.613,0.0,13.9,1.1,-1.1,0.0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,M6,3064.0,76.0,-76.0,0.0,0.28,0.01,-0.01,0.0,0.11,0.01,-0.01,0.0,,,,,,-2.23,0.06,-0.06,0.0,4.59,0.06,-0.06,0.0,0.035,0.005,-0.005,0.0,,,,,6.5,0.4,-0.4,0.0,,,,,10.6,0.7,-0.7,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,02h19m22.25s,34.842704600000005,-39d25m23.08s,-39.4230767,,,,,-67.98402,,,252.4534,,,-49.30514,,,13.509020000000001,,,,,,,,,,,,,,,,,,18.549,0.162,-0.162,,,,11.381,0.026,-0.026,10.811,0.027,-0.027,10.404,0.025,-0.025,,,,,,,,,,,,,,,,10.148,0.023,-0.023,9.901,0.02,-0.02,9.614,0.037,-0.037,9.001,,,15.0123,0.000624,-0.000624,,,,13.4304,0.007697399999999999,-0.007697399999999999,,,,2015-05-14,2015-06,2015-05-14,0.0,0.0,0.0,0.0,0.0,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>,<a refstr=ARTIGAU_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...806..254A/abstract target=ref>Artigau et al. 2015</a>
2MASS J04414489+2301513 b,31,2MASS J04414489+2301513,b,,,TIC 118893899 b,1,1,0,Imaging,2010,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,2010-05,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFPC2 Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,,,,,15.0,,,0.0,,,,,,,,,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,,,,,,,,,,,,,,,,,2383.6,794.5,-794.5,0.0,7.5,2.5,-2.5,0.0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=TODOROV_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...714L..84T/abstract target=ref> Todorov et al. 2010 </a>,M8.5,,,,,,,,,0.02,,,0.0,,,,,,,,,,,,,,0.001,,,0.0,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,,,,,-15.11435,,,176.5106,,,0.8023574,,,72.05026,,,,,,,,,,,,,,,,,,,,,,,,14.419,0.026,-0.026,13.726,0.029,-0.029,13.161,0.025,-0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9668,0.006833,-0.006833,,,,17.1815,0.030421899999999998,-0.030421899999999998,,,,2014-05-14,2010-05,2014-05-14,0.0,0.0,0.0,0.0,0.0,,
2MASS J12073346-3932539 b,33,2MASS J12073346-3932539,b,,,TIC 102076870 b,1,1,0,Imaging,2004,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,2004-10,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=DUCOURANT_ET_AL__2008 href=https://ui.adsabs.harvard.edu/abs/2008A&A...477L...1D/abstract target=ref> Ducourant et al. 2008 </a>,,,,,46.0,5.0,-5.0,0.0,,,,,,,,,1271.0,318.0,-318.0,0.0,4.0,1.0,-1.0,0.0,,,,,,,,,,,,,,,,,1271.0,318.0,-318.0,0.0,4.0,1.0,-1.0,0.0,Mass,,,,,,,,,,,,,1150.0,150.0,-150.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,,2825.0,157.0,-157.0,0.0,0.22,0.01,-0.01,0.0,0.19,0.02,-0.02,0.0,,,,,,-2.5610000000000004,0.11,-0.14800000000000002,0.0,5.03,0.02,-0.02,0.0,,,,,17.9309,0.2206,-0.2206,0.0,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,,,,,22.54324,,,293.7904,,,-35.03484,,,199.7437,,,68.3315134,0.223,-0.223,-64.0825,0.233085,-0.233085,-23.7198,0.129679,-0.129679,64.308,0.65045,-0.65045,15.5242,0.156079,-0.156079,,,,,,,12.995,0.026,-0.026,12.388,0.027,-0.027,11.945,0.026,-0.026,,,,,,,,,,,,,,,,11.574,0.023,-0.023,11.017,0.02,-0.02,9.469,0.031,-0.031,8.121,0.174,-0.174,17.4076,0.002154,-0.002154,,,,15.662,0.011251899999999999,-0.011251899999999999,,,,2014-05-14,2008-01,2014-05-14,0.0,0.0,0.0,0.0,0.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
2MASS J19383260+4603591 b,34,2MASS J19383260+4603591,b,,,TIC 271164763 b,2,1,0,Eclipse Timing Variations,2015,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,2015-05,Space,Kepler,0.95 m Kepler Telescope,Kepler CCD Array,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,CONFIRMED,0.0,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,416.0,2.0,-2.0,0.0,0.92,0.02,-0.02,0.0,,,,,,,,,603.877,31.783,-31.783,0.0,1.9,0.1,-0.1,0.0,,,,,,,,,,,,,,,,,603.877,31.783,-31.783,0.0,1.9,0.1,-0.1,0.0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BARAN_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015A&A...577A.146B/abstract target=ref>Baran et al. 2015</a>,,,,,,,,,,0.48,0.03,-0.03,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,,,,,11.67429,,,79.01876,,,65.72537,,,314.7093,,,6.9650162,0.077,-0.077,5.19637,0.077075,-0.077075,-4.6378,0.07725,-0.07725,396.332,6.3885,-6.3885,2.49522,0.0403515,-0.0403515,12.112,0.307,-0.307,12.651,0.215,-0.215,12.757,0.022,-0.022,12.889,0.02,-0.02,12.955,0.029,-0.029,,,,,,,,,,,,,,,,12.862,0.023,-0.023,12.92,0.024,-0.024,12.67,0.27,-0.27,9.203,,,12.1376,0.0036869999999999997,-0.0036869999999999997,,,,12.4561,0.0159,-0.0159,12.264000000000001,,,2015-06-04,2015-05,2015-06-04,1.0,0.0,0.0,0.0,0.0,,
2MASS J21402931+1625183 A b,35,2MASS J21402931+1625183 A,b,,,TIC 301728657 b,1,1,0,Imaging,2009,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,2010-03,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,7336.5,1934.5,-584.0,0.0,,,,,10.31,4.37,-4.04,0.0,0.92,0.39,-0.36,0.0,6657.48,26629.91,-6657.48,0.0,20.95,83.79,-20.95,0.0,,,,,,,,,,,,,,,,,6657.48,26629.91,-6657.48,0.0,20.95,83.79,-20.95,0.0,Mass,,,,,0.26,0.06,-0.06,0.0,,,,,2075.0,70.0,-70.0,0.0,46.2,2.5,-8.7,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.0,10.0,-47.0,0.0,,,,,,,,,,,,,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,M8.5,2300.0,80.0,-80.0,0.0,0.12,0.05,-0.04,0.0,0.08,0.06,-0.06,0.0,,,,,,-3.48,0.35,-0.35,0.0,,,,,,,,,,,,,,,,,,,,,13.0,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,21h40m29.24s,325.1218214,+16d25m16.83s,16.4213408,,,,,-26.437359999999998,,,70.48455,,,28.52582,,,333.59,,,,,,,,,,,,,,,,,,,,,,,,12.94,0.033,-0.033,12.266,0.04,-0.04,11.826,0.031,-0.031,30.0,50.0,-50.0,21.5491,0.0586894,-0.0586894,19.7244,0.0222215,-0.0222215,16.8302,0.005111,-0.005111,15.1339,0.0049645,-0.0049645,11.375,0.022,-0.022,11.135,0.02,-0.02,10.687,0.096,-0.096,8.971,,,17.3961,0.004861,-0.004861,,,,15.5475,0.012166,-0.012166,,,,2014-05-14,2010-03,2014-05-14,0.0,0.0,0.0,0.0,0.0,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>,<a refstr=KONOPACKY_ET_AL__2010 href=https://ui.adsabs.harvard.edu/abs/2010ApJ...711.1087K/abstract target=ref> Konopacky et al. 2010 </a>
2MASS J22362452+4751425 b,36,2MASS J22362452+4751425,b,,,TIC 200532605 b,1,1,0,Imaging,2016,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,2017-01,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,CONFIRMED,0.0,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,,,,,230.0,20.0,-20.0,0.0,,,,,,,,,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,,,,,,,,,,,,,,,,,3972.875,476.745,-476.745,0.0,12.5,1.5,-1.5,0.0,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=BOWLER_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,K7 V,4045.0,35.0,-35.0,0.0,,,,,0.6,0.05,-0.05,0.0,,,,,,,,,,,,,,0.12,0.01,-0.01,0.0,,,,,,,,,,,,,-21.5,0.2,-0.2,0.0,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,22h36m24.62s,339.10259310000004,+47d51m42.06s,47.861683,,,,,-9.108981,,,100.7483,,,50.85357,,,6.858795,,,69.8897974,0.06,-0.06,62.8913,0.0598322,-0.0598322,-30.4839,0.05855,-0.05855,69.5737,0.15885,-0.15885,14.3444,0.0325696,-0.0325696,13.731,0.177,-0.177,12.368,0.057,-0.057,9.975,0.022,-0.022,9.338,0.021,-0.021,9.148,0.018,-0.018,,,,,,,,,,,,,,,,9.058,0.023,-0.023,9.094,0.02,-0.02,8.947,0.027,-0.027,8.731,0.356,-0.356,11.9484,0.000737,-0.000737,,,,11.1286,0.0061,-0.0061,,,,2016-11-09,2017-01,2016-11-09,2.0,0.0,0.0,0.0,0.0,,
55 Cnc b,59,55 Cnc,b,,HIP 43587 b,TIC 332064670 b,2,5,0,Radial Velocity,1996,<a refstr=BUTLER_ET_AL__1997 href=https://ui.adsabs.harvard.edu/abs/1997ApJ...474L.115B/abstract target=ref> Butler et al. 1997 </a>,1997-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CONFIRMED,0.0,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,14.65152,0.00015,-0.00015,0.0,0.115227,1e-06,-1e-06,0.0,,,,,,,,,263.9785,1.0488,-1.0488,0.0,0.8306,0.0033,-0.0033,0.0,,,,,,,,,,,,,,,,,263.9785,1.0488,-1.0488,0.0,0.8306,0.0033,-0.0033,0.0,Mass,,,,,0.0034,0.0032,-0.0032,0.0,,,,,,,,,90.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0,53.0,-53.0,0.0,71.4,0.29,-0.29,0.0,,,,,,,,,<a refstr=BALUEV_2015 href=https://ui.adsabs.harvard.edu/abs/2015MNRAS.446.1493B/abstract target=ref>Baluev 2015</a>,,,,,,0.96,0.07,-0.07,,0.95,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.329815399999998,,,,,37.6989,,,196.7947,,,10.3671,,,127.7325,,,539.1329986000001,0.13,-0.13,-485.872,0.133857,-0.133857,-233.651,0.109171,-0.109171,12.5855,0.01235,-0.01235,79.4274,0.0776646,-0.0776646,6.816,0.019,-0.019,5.95084,0.023,-0.023,4.768,0.244,-0.244,4.265,0.234,-0.234,4.015,0.036,-0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.72973,0.0008523,-0.0008523,,,,5.2058,0.0061,-0.0061,,,,2014-10-29,2015-01,2014-10-29,4.0,0.0,45.0,0.0,55.0,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>
